date,OT,dgs1mo,dbaa,t5yifr
2020-04-16,8532.360352,0.14,3.89,1.36
2020-04-17,8650.139648,0.12,3.92,1.35
2020-04-20,8560.730469,0.1,3.91,1.32
2020-04-21,8263.230469,0.08,3.87,1.34
2020-04-22,8495.379883,0.09,3.93,1.43
2020-04-23,8494.75,0.09,3.87,1.43
2020-04-24,8634.519531,0.1,3.85,1.5
2020-04-27,8730.160156,0.09,3.91,1.56
2020-04-28,8607.730469,0.08,3.87,1.52
2020-04-29,8914.709961,0.1,3.87,1.5
2020-04-30,8889.549805,0.1,3.87,1.42
2020-05-01,8604.950195,0.1,3.89,1.44
2020-05-04,8710.709961,0.1,3.92,1.45
2020-05-05,8809.120117,0.09,3.94,1.49
2020-05-06,8854.389648,0.08,4.03,1.49
2020-05-07,8979.660156,0.1,3.97,1.46
2020-05-08,9121.320313,0.1,4.06,1.5
2020-05-11,9192.339844,0.09,4.14,1.51
2020-05-12,9002.549805,0.1,4.09,1.46
2020-05-13,8863.169922,0.1,4.07,1.43
2020-05-14,8943.719727,0.09,4.04,1.41
2020-05-15,9014.55957,0.09,4.05,1.43
2020-05-18,9234.830078,0.1,4.11,1.5
2020-05-19,9185.099609,0.09,4.0,1.48
2020-05-20,9375.780273,0.08,3.92,1.49
2020-05-21,9284.879883,0.09,3.86,1.47
2020-05-22,9324.589844,0.09,3.84,1.44
2020-05-26,9340.219727,0.1,3.83,1.44
2020-05-27,9412.360352,0.11,3.79,1.46
2020-05-28,9368.990234,0.14,3.8,1.5
2020-05-29,9489.870117,0.13,3.73,1.47
2020-06-01,9552.049805,0.12,3.76,1.52
2020-06-02,9608.379883,0.12,3.76,1.52
2020-06-03,9682.910156,0.12,3.79,1.54
2020-06-04,9615.80957,0.13,3.81,1.56
2020-06-05,9814.080078,0.13,3.77,1.59
2020-06-08,9924.75,0.15,3.69,1.58
2020-06-09,9953.75,0.14,3.64,1.54
2020-06-10,10020.34961,0.13,3.61,1.54
2020-06-11,9492.730469,0.14,3.57,1.47
2020-06-12,9588.80957,0.14,3.62,1.47
2020-06-15,9726.019531,0.15,3.64,1.48
2020-06-16,9895.870117,0.14,3.64,1.52
2020-06-17,9910.530273,0.13,3.61,1.51
2020-06-18,9943.049805,0.13,3.57,1.44
2020-06-19,9946.120117,0.13,3.57,1.54
2020-06-22,10056.48047,0.14,3.57,1.57
2020-06-23,10131.37012,0.12,3.59,1.62
2020-06-24,9909.169922,0.11,3.58,1.56
2020-06-25,10017.0,0.13,3.6,1.55
2020-06-26,9757.219727,0.12,3.56,1.53
2020-06-29,9874.150391,0.11,3.58,1.54
2020-06-30,10058.76953,0.13,3.59,1.52
2020-07-01,10154.62988,0.12,3.58,1.57
2020-07-02,10207.62988,0.13,3.55,1.61
2020-07-06,10433.65039,0.12,3.52,1.62
2020-07-07,10343.88965,0.12,3.46,1.6
2020-07-08,10492.5,0.11,3.44,1.59
2020-07-09,10547.75,0.11,3.35,1.56
2020-07-10,10617.44043,0.1,3.39,1.57
2020-07-13,10390.83984,0.11,3.38,1.57
2020-07-14,10488.58008,0.11,3.34,1.55
2020-07-15,10550.49023,0.12,3.35,1.54
2020-07-16,10473.83008,0.12,3.31,1.52
2020-07-17,10503.19043,0.11,3.32,1.57
2020-07-20,10767.08984,0.11,3.28,1.55
2020-07-21,10680.36035,0.09,3.24,1.56
2020-07-22,10706.12988,0.09,3.21,1.56
2020-07-23,10461.41992,0.09,3.17,1.61
2020-07-24,10363.17969,0.1,3.17,1.67
2020-07-27,10536.26953,0.1,3.18,1.66
2020-07-28,10402.08984,0.09,3.16,1.66
2020-07-29,10542.94043,0.09,3.19,1.68
2020-07-30,10587.80957,0.1,3.15,1.67
2020-07-31,10745.26953,0.09,3.15,1.7
2020-08-03,10902.79981,0.09,3.19,1.7
2020-08-04,10941.16992,0.09,3.14,1.69
2020-08-05,10998.40039,0.08,3.14,1.7
2020-08-06,11108.07031,0.07,3.12,1.73
2020-08-07,11010.98047,0.08,3.14,1.72
2020-08-10,10968.36035,0.09,3.15,1.73
2020-08-11,10782.82031,0.08,3.23,1.76
