date,OT,closeshort
2020-07-14,10488.58008,58.0
2020-07-15,10550.49023,55.0
2020-07-16,10473.83008,52.0
2020-07-17,10503.19043,55.0
2020-07-20,10767.08984,66.0
2020-07-21,10680.36035,58.0
2020-07-22,10706.12988,54.0
2020-07-23,10461.41992,46.0
2020-07-24,10363.17969,46.0
2020-07-27,10536.26953,51.0
2020-07-28,10402.08984,51.0
2020-07-29,10542.94043,54.0
2020-07-30,10587.80957,59.0
2020-07-31,10745.26953,62.0
2020-08-03,10902.79981,69.0
2020-08-04,10941.16992,71.0
2020-08-05,10998.40039,63.0
2020-08-06,11108.07031,68.0
2020-08-07,11010.98047,65.0
2020-08-10,10968.36035,57.0
2020-08-11,10782.82031,54.0
2020-08-12,11012.24023,60.0
2020-08-13,11042.5,62.0
2020-08-14,11019.29981,59.0
2020-08-17,11129.73047,66.0
2020-08-18,11210.83984,69.0
2020-08-19,11146.45996,64.0
2020-08-20,11264.9502,69.0
2020-08-21,11311.79981,75.0
2020-08-24,11379.71973,67.0
2020-08-25,11466.46973,70.0
2020-08-26,11665.05957,74.0
2020-08-27,11625.33984,68.0
2020-08-28,11695.62988,69.0
2020-08-31,11775.45996,67.0
2020-09-01,11939.66992,66.0
2020-09-02,12056.44043,61.0
2020-09-03,11458.09961,50.0
2020-09-04,11313.12988,43.0
2020-09-08,10847.69043,36.0
2020-09-09,11141.55957,41.0
2020-09-10,10919.58984,39.0
2020-09-11,10853.54981,36.0
2020-09-14,11056.65039,42.0
2020-09-15,11190.32031,47.0
2020-09-16,11050.46973,36.0
2020-09-17,10910.28027,31.0
2020-09-18,10793.28027,35.0
2020-09-21,10778.79981,40.0
2020-09-22,10963.63965,44.0
2020-09-23,10632.99023,38.0
2020-09-24,10672.26953,39.0
2020-09-25,10913.55957,47.0
2020-09-28,11117.53027,46.0
2020-09-29,11085.25,46.0
2020-09-30,11167.50977,49.0
2020-10-01,11326.50977,54.0
2020-10-02,11075.01953,42.0
2020-10-05,11332.49023,49.0
2020-10-06,11154.59961,44.0
2020-10-07,11364.59961,53.0
2020-10-08,11420.98047,52.0
2020-10-09,11579.94043,55.0
2020-10-13,11863.90039,53.0
2020-10-14,11768.73047,51.0
2020-10-15,11713.87012,45.0
2020-10-16,11671.55957,47.0
2020-10-19,11478.87988,40.0
2020-10-20,11516.49023,40.0
2020-10-21,11484.69043,42.0
2020-10-22,11506.00977,42.0
2020-10-23,11548.28027,41.0
2020-10-26,11358.94043,41.0
2020-10-27,11431.34961,45.0
2020-10-28,11004.87012,38.0
2020-10-29,11185.58984,40.0
2020-10-30,10911.58984,38.0
2020-11-02,10957.61035,36.0
2020-11-03,11160.57031,38.0
2020-11-04,11590.78027,56.0
2020-11-05,11890.92969,61.0
2020-11-06,11895.23047,61.0
